"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 24 15:40:37 CST 2020","Fri Jul 24 15:41:02 CST 2020","24849","","test_contact","TestContact","","","test_del_contact[Cola]",""
"passed","Fri Jul 24 15:40:04 CST 2020","Fri Jul 24 15:40:23 CST 2020","18828","","test_contact","TestContact","","","test_add_contact[Cola]",""
